0.000000000,N
0.046439909,Bb
1.671836735,C7
3.250793651,Bbm
5.108390023,C#aug
6.455147392,Bb
9.055782313,Fm7b5/Eb
9.473741497,F#
11.749297052,Ddim
13.049614512,Ebm
14.164172336,C#
16.253968254,C
17.832925170,C#aug
19.411882086,Bb
22.337596372,Bbm7b5/Ab
24.288072562,F7
25.867029478,Bm7
27.074467120,Bbdim
27.538866213,F/Eb
27.956825397,Dm
29.117823129,Bm7
30.325260771,Bbdim
30.743219955,F/Eb
31.300498866,Dm
32.415056689,Ebdim
33.529614512,B
33.994013605,Bbm
35.712290249,C
37.291247166,C#aug
38.870204082,Bb
40.588480726,C7
42.167437642,Bbm
44.025034014,C#aug
45.371791383,Bb
47.972426304,Fm7b5/Eb
48.390385488,F#
50.665941043,Ddim
51.966258503,Ebm
53.080816327,C#
55.170612245,C
56.749569161,C#aug
58.328526077,Bb
61.114920635,C#6
62.740317460,Ebm7
63.576235828,F/Eb
64.783673469,Bm7
65.944671202,Bbdim
66.455510204,F/Eb
67.012789116,Dm
68.034467120,Bm7
69.241904762,Bbdim
69.659863946,F/Eb
70.124263039,Dm
71.331700680,Ebdim
72.446258503,Bm
72.910657596,Bbm
74.628934240,C
76.068571429,F
79.969523810,N
